+--------------------------------------------------------------------------------+--------+
|                                   Base Path                                    | Amount |
|                     /data4/paper/2012EoR/psa_live/psa6358                      |  134   |
|                     /data4/paper/2012EoR/psa_live/psa6359                      |  138   |
|                     /data4/paper/2012EoR/psa_live/psa6360                      |  136   |
|                     /data4/paper/2012EoR/psa_live/psa6361                      |  128   |
|                     /data4/paper/2012EoR/psa_live/psa6362                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6363                      |  136   |
|                     /data4/paper/2012EoR/psa_live/psa6364                      |  136   |
|                     /data4/paper/2012EoR/psa_live/psa6365                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6366                      |  113   |
|                     /data4/paper/2012EoR/psa_live/psa6367                      |   95   |
|                     /data4/paper/2012EoR/psa_live/psa6368                      |   80   |
|                     /data4/paper/2012EoR/psa_live/psa6369                      |   55   |
|                     /data4/paper/2012EoR/psa_live/psa6370                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6371                      |  138   |
|                     /data4/paper/2012EoR/psa_live/psa6372                      |  138   |
|                     /data4/paper/2012EoR/psa_live/psa6373                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6374                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6375                      |  139   |
|                     /data4/paper/2012EoR/psa_live/psa6376                      |   65   |
|                     /data4/paper/2012EoR/psa_live/psa6377                      |   71   |
|                     /data4/paper/2012EoR/psa_live/psa6378                      |   72   |
|                    /data4/paper/2012EoR/psa_live/RFI_FILES                     |  8696  |
|                           /data4/paper/2012EoR/test                            |   96   |
|                          /data4/paper/2013EoR/2456617                          |   29   |
|                          /data4/paper/2013EoR/2456619                          |   57   |
|                          /data4/paper/2013EoR/2456620                          |  848   |
|                     /data4/paper/2013EoR/2456620/PicAtZen                      |   4    |
|                  /data4/paper/2013EoR/2456620/PicAtZen/minus                   |   1    |
|                   /data4/paper/2013EoR/2456620/PicAtZen/plus                   |   1    |
|                          /data4/paper/2013EoR/2456622                          |   4    |
|                  /data4/paper/2013EoR/2456622/aggressive_RFI                   |   24   |
|                    /data4/paper/2013EoR/2456622/default_RFI                    |  561   |
|                          /data4/paper/2013EoR/2456623                          |   88   |
|                          /data4/paper/2013EoR/2456625                          |   92   |
|                          /data4/paper/2013EoR/2456632                          |  848   |
|                          /data4/paper/2013EoR/2456636                          |  524   |
|                          /data4/paper/2013EoR/2456638                          |  848   |
|                          /data4/paper/2013EoR/2456642                          |  848   |
|                          /data4/paper/2013EoR/2456644                          |  813   |
|                          /data4/paper/2013EoR/2456646                          |  848   |
|                          /data4/paper/2013EoR/2456648                          |  848   |
|                          /data4/paper/2013EoR/2456650                          |  316   |
|                          /data4/paper/2013EoR/2456660                          |  560   |
|                          /data4/paper/2013EoR/2456662                          |  560   |
|                  /data4/paper/2013EoR/2456664/aggressive_RFI                   |  298   |
|                    /data4/paper/2013EoR/2456664/default_RFI                    |  298   |
|                          /data4/paper/2013EoR/2456670                          |  560   |
|                          /data4/paper/2013EoR/2456673                          |  556   |
|                          /data4/paper/2013EoR/2456678                          |  288   |
|                          /data4/paper/2013EoR/2456679                          |  352   |
|                          /data4/paper/2013EoR/2456680                          |  560   |
|                          /data4/paper/2013EoR/2456681                          |  560   |
|                          /data4/paper/2013EoR/2456682                          |  560   |
|                          /data4/paper/2013EoR/2456684                          |  560   |
|                          /data4/paper/2013EoR/2456685                          |  560   |
|                          /data4/paper/2013EoR/2456686                          |  560   |
|                          /data4/paper/2013EoR/2456687                          |  288   |
|              /data4/paper/2013EoR/2456687/correct_and_XRFI_files               |  560   |
|                          /data4/paper/2013EoR/2456688                          |  560   |
|                          /data4/paper/2013EoR/2456689                          |  560   |
|                          /data4/paper/2013EoR/2456690                          |  560   |
|                          /data4/paper/2013EoR/2456691                          |  560   |
|                          /data4/paper/2013EoR/2456692                          |  560   |
|                          /data4/paper/2013EoR/2456694                          |  320   |
|                          /data4/paper/2013EoR/2456695                          |  560   |
|                          /data4/paper/2013EoR/2456696                          |  554   |
|                          /data4/paper/2013EoR/2456697                          |  560   |
|                          /data4/paper/2013EoR/2456698                          |  848   |
|                          /data4/paper/2013EoR/2456699                          |  560   |
