+-----+------------+----------------------------------------------------+----------------------------------------------+-------------+--------+
| Era | Julian Day |                      Raw Path                      |               Compressed Path                | Type(R/C/B) | Amount |
|  32 |    5967    |      folio:/data4/paper/raw_to_tape/2455967/       |     folio:/data4/paper/2011EoR/2455967/      |      B      |   10   |
|  32 |    5967    |      folio:/data4/paper/raw_to_tape/2455967/       |                     NULL                     |      R      |   2    |
|  32 |    5971    |      folio:/data4/paper/raw_to_tape/2455971/       |     folio:/data4/paper/2011EoR/2455971/      |      B      |   53   |
|  32 |    5971    |      folio:/data4/paper/raw_to_tape/2455971/       |                     NULL                     |      R      |   3    |
|  32 |    5972    |      folio:/data4/paper/raw_to_tape/2455972/       |     folio:/data4/paper/2011EoR/2455972/      |      B      |   94   |
|  32 |    5972    |      folio:/data4/paper/raw_to_tape/2455972/       |                     NULL                     |      R      |   2    |
|  32 |    5973    |      folio:/data4/paper/raw_to_tape/2455973/       |     folio:/data4/paper/2011EoR/2455973/      |      B      |   94   |
|  32 |    5973    |      folio:/data4/paper/raw_to_tape/2455973/       |                     NULL                     |      R      |   2    |
|  32 |    5974    |      folio:/data4/paper/raw_to_tape/2455974/       |     folio:/data4/paper/2011EoR/2455974/      |      B      |   94   |
|  32 |    5974    |      folio:/data4/paper/raw_to_tape/2455974/       |                     NULL                     |      R      |   2    |
|  32 |    5975    |      folio:/data4/paper/raw_to_tape/2455975/       |     folio:/data4/paper/2011EoR/2455975/      |      B      |   94   |
|  32 |    5975    |      folio:/data4/paper/raw_to_tape/2455975/       |                     NULL                     |      R      |   2    |
|  32 |    5976    |      folio:/data4/paper/raw_to_tape/2455976/       |     folio:/data4/paper/2011EoR/2455976/      |      B      |   94   |
|  32 |    5976    |      folio:/data4/paper/raw_to_tape/2455976/       |                     NULL                     |      R      |   2    |
|  32 |    5977    |      folio:/data4/paper/raw_to_tape/2455977/       |     folio:/data4/paper/2011EoR/2455977/      |      B      |   94   |
|  32 |    5977    |      folio:/data4/paper/raw_to_tape/2455977/       |                     NULL                     |      R      |   2    |
|  32 |    5978    |      folio:/data4/paper/raw_to_tape/2455978/       |     folio:/data4/paper/2011EoR/2455978/      |      B      |   92   |
|  32 |    5978    |      folio:/data4/paper/raw_to_tape/2455978/       |                     NULL                     |      R      |   4    |
|  32 |    5979    |      folio:/data4/paper/raw_to_tape/2455979/       |     folio:/data4/paper/2011EoR/2455979/      |      B      |   94   |
|  32 |    5979    |      folio:/data4/paper/raw_to_tape/2455979/       |                     NULL                     |      R      |   2    |
|  32 |    5980    |      folio:/data4/paper/raw_to_tape/2455980/       |                     NULL                     |      R      |   1    |
|  32 |    5982    |      folio:/data4/paper/raw_to_tape/2455982/       |     folio:/data4/paper/2011EoR/2455982/      |      B      |   62   |
|  32 |    5982    |      folio:/data4/paper/raw_to_tape/2455982/       |                     NULL                     |      R      |   1    |
|  32 |    5983    |      folio:/data4/paper/raw_to_tape/2455983/       |     folio:/data4/paper/2011EoR/2455983/      |      B      |   26   |
|  32 |    5983    |      folio:/data4/paper/raw_to_tape/2455983/       |                     NULL                     |      R      |   70   |
|  32 |    5984    |      folio:/data4/paper/raw_to_tape/2455984/       |     folio:/data4/paper/2011EoR/2455984/      |      B      |   60   |
|  32 |    5984    |      folio:/data4/paper/raw_to_tape/2455984/       |                     NULL                     |      R      |   36   |
|  32 |    5985    |      folio:/data4/paper/raw_to_tape/2455985/       |     folio:/data4/paper/2011EoR/2455985/      |      B      |   37   |
|  32 |    5985    |      folio:/data4/paper/raw_to_tape/2455985/       |                     NULL                     |      R      |   59   |
|  32 |    5987    |      folio:/data4/paper/raw_to_tape/2455987/       |     folio:/data4/paper/2011EoR/2455987/      |      B      |   94   |
|  32 |    5987    |      folio:/data4/paper/raw_to_tape/2455987/       |                     NULL                     |      R      |   2    |
|  32 |    5988    |      folio:/data4/paper/raw_to_tape/2455988/       |     folio:/data4/paper/2011EoR/2455988/      |      B      |   94   |
|  32 |    5988    |      folio:/data4/paper/raw_to_tape/2455988/       |                     NULL                     |      R      |   2    |
|  32 |    5989    |      folio:/data4/paper/raw_to_tape/2455989/       |     folio:/data4/paper/2011EoR/2455989/      |      B      |   94   |
|  32 |    5989    |      folio:/data4/paper/raw_to_tape/2455989/       |                     NULL                     |      R      |   2    |
|  32 |    5990    |      folio:/data4/paper/raw_to_tape/2455990/       |     folio:/data4/paper/2011EoR/2455990/      |      B      |   94   |
|  32 |    5990    |      folio:/data4/paper/raw_to_tape/2455990/       |                     NULL                     |      R      |   2    |
|  32 |    5991    |      folio:/data4/paper/raw_to_tape/2455991/       |     folio:/data4/paper/2011EoR/2455991/      |      B      |   94   |
|  32 |    5991    |      folio:/data4/paper/raw_to_tape/2455991/       |                     NULL                     |      R      |   2    |
|  32 |    5992    |      folio:/data4/paper/raw_to_tape/2455992/       |     folio:/data4/paper/2011EoR/2455992/      |      B      |   94   |
|  32 |    5992    |      folio:/data4/paper/raw_to_tape/2455992/       |                     NULL                     |      R      |   2    |
|  32 |    5993    |      folio:/data4/paper/raw_to_tape/2455993/       |     folio:/data4/paper/2011EoR/2455993/      |      B      |   94   |
|  32 |    5993    |      folio:/data4/paper/raw_to_tape/2455993/       |                     NULL                     |      R      |   2    |
|  32 |    5994    |      folio:/data4/paper/raw_to_tape/2455994/       |     folio:/data4/paper/2011EoR/2455994/      |      B      |   94   |
|  32 |    5994    |      folio:/data4/paper/raw_to_tape/2455994/       |                     NULL                     |      R      |   2    |
|  32 |    5995    |      folio:/data4/paper/raw_to_tape/2455995/       |     folio:/data4/paper/2011EoR/2455995/      |      B      |   1    |
|  32 |    5995    |      folio:/data4/paper/raw_to_tape/2455995/       |                     NULL                     |      R      |   2    |
|  32 |    5996    |      folio:/data4/paper/raw_to_tape/2455996/       |     folio:/data4/paper/2011EoR/2455996/      |      B      |   94   |
|  32 |    5996    |      folio:/data4/paper/raw_to_tape/2455996/       |                     NULL                     |      R      |   2    |
|  32 |    5997    |      folio:/data4/paper/raw_to_tape/2455997/       |     folio:/data4/paper/2011EoR/2455997/      |      B      |   94   |
|  32 |    5997    |      folio:/data4/paper/raw_to_tape/2455997/       |                     NULL                     |      R      |   2    |
|  32 |    5998    |      folio:/data4/paper/raw_to_tape/2455998/       |     folio:/data4/paper/2011EoR/2455998/      |      B      |   94   |
|  32 |    5998    |      folio:/data4/paper/raw_to_tape/2455998/       |                     NULL                     |      R      |   2    |
|  32 |    6000    |      folio:/data4/paper/raw_to_tape/2456000/       |     folio:/data4/paper/2011EoR/2456000/      |      B      |   94   |
|  32 |    6000    |      folio:/data4/paper/raw_to_tape/2456000/       |                     NULL                     |      R      |   2    |
|  32 |    6001    |      folio:/data4/paper/raw_to_tape/2456001/       |     folio:/data4/paper/2011EoR/2456001/      |      B      |   94   |
|  32 |    6001    |      folio:/data4/paper/raw_to_tape/2456001/       |                     NULL                     |      R      |   2    |
